cn,species1216,tropwgt1216,cfmtcbm1216,division1216,jqcat1216,jq3cat1216,species1721,tropwgt1721,cfmtcbm1721,division1721,jqcat1721,jq3cat1721,eceeu1721,repunit1721,cfwrme
48210000,0,0,0,0,0,1264,NA,NA,NA,NA,NA,NA,NA,NA,1
48211010,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48211090,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48219010,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48219090,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48220000,0,0,0,0,0,1264,NA,NA,NA,NA,NA,NA,NA,NA,1
48221000,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48229000,0,0,0,0,0,0,0,0,0,0,0,14540,0,0,1
48230000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
48232000,0,0,0,0,0,1263,0,0,0,0,0,14530,0,0,1
48234000,0,0,0,0,0,1264,0,0,0,0,0,14540,0,0,1
48236100,0,0,0,0,0,1264,0,0,0,0,0,14540,0,0,1
48236910,0,0,0,0,0,1264,0,0,0,0,0,14540,0,0,1
48236990,0,0,0,0,0,1264,0,0,0,0,0,14540,0,0,1
48237010,0,0,0,0,0,1262,0,0,0,0,0,14520,0,0,1
48237090,0,0,0,0,0,1262,0,0,0,0,0,14520,0,0,1
48239040,0,0,0,0,0,1261,0,0,0,0,0,14510,0,0,1
48239085,0,0,0,0,0,1264,0,0,0,0,0,14540,0,0,1
49010000,0,0,0,0,0,1271,NA,NA,NA,NA,NA,NA,NA,NA,1
49011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49019100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49019900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49020000,0,0,0,0,0,1272,NA,NA,NA,NA,NA,NA,NA,NA,1
49021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49029000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49030000,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,1
49040000,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,1
49050000,0,0,0,0,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,1
49051000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49059100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49059900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49060000,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,1
49070000,0,0,0,0,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,1
49070010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49070030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49070090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49080000,0,0,0,0,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,1
49081000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49089000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49090000,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,1
49100000,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,1
49110000,0,0,0,0,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,1
49111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49111090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49119100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49119900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94010000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94012000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94015100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94015200,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94015300,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94015900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94016100,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94016900,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94017100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94017900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94019010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94019030,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94019080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94020000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94029000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94030000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94031051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94031058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94031091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94031093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94031098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94032020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94032080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94033011,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94033019,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94033091,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94033099,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94034010,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94034090,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94035000,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94036010,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94036030,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94036090,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94038100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94038200,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94038300,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94038900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94039010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94039030,0,0,0,0,0,1160,0,0,0,0,0,13500,0,0,1
94039090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94040000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94041000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94042110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94042190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94042910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94042990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94043000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94049010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94049090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94050000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94051021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94051040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94051050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94051091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94051098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94052011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94052040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94052050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94052091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94052099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94053000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94054099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94056020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94056080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94059110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94059190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94059200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94059900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94060000,0,0,0,0,0,1170,NA,NA,NA,NA,NA,NA,NA,NA,1
94060011,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
94060020,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,1
94060031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94060038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94060080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94061000,NA,NA,NA,NA,NA,NA,0,0,0,0,0,13600,0,0,1
94069010,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94069031,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94069038,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
94069090,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
